epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,216.066,0.96549,1.73531,1.26344,0.74288,0.62452,0.69751,0.43975,1.19106,1.36729,1.44072,0.000369447,0.000369447,0.000369447
2,425.084,1.11286,1.31796,1.35653,0.72735,0.64481,0.71737,0.47104,1.25504,1.37508,1.46808,0.000727574,0.000727574,0.000727574
3,640.317,1.14618,1.31416,1.36442,0.74803,0.66325,0.70487,0.4763,1.16011,1.33492,1.40279,0.00107348,0.00107348,0.00107348
4,854.842,1.10164,1.21559,1.34087,0.78489,0.7172,0.79728,0.54002,1.11959,1.08579,1.34774,0.00105601,0.00105601,0.00105601
5,1068.02,1.07643,1.10905,1.2999,0.8493,0.76705,0.84337,0.59812,1.01368,0.90575,1.25352,0.00103767,0.00103767,0.00103767
6,1280.14,1.01471,1.00845,1.25933,0.86867,0.77527,0.85684,0.62744,0.98323,0.85079,1.2397,0.00101934,0.00101934,0.00101934
7,1488.21,0.94418,0.93559,1.21558,0.85628,0.78771,0.86532,0.62327,0.97894,0.81365,1.2303,0.00100101,0.00100101,0.00100101
8,1695.88,0.9353,0.87388,1.20345,0.9064,0.82951,0.89939,0.67377,0.89637,0.70729,1.1672,0.000982679,0.000982679,0.000982679
9,1906.25,0.90789,0.83541,1.18772,0.87522,0.83647,0.88758,0.6651,0.8887,0.73162,1.17402,0.000964348,0.000964348,0.000964348
10,2108.62,0.89287,0.8109,1.17563,0.85118,0.81602,0.87519,0.65687,0.89721,0.74906,1.18288,0.000946016,0.000946016,0.000946016
11,2313.7,0.85618,0.76034,1.14769,0.90305,0.85866,0.90991,0.68846,0.86392,0.65167,1.14573,0.000927685,0.000927685,0.000927685
12,2522.24,0.85524,0.74059,1.14303,0.91244,0.86114,0.9153,0.71451,0.81645,0.60777,1.10812,0.000909353,0.000909353,0.000909353
13,2728.81,0.80988,0.69778,1.11431,0.9306,0.8662,0.91885,0.71428,0.8268,0.61121,1.11577,0.000891022,0.000891022,0.000891022
14,2930.48,0.80195,0.68548,1.11178,0.89588,0.87944,0.92971,0.71734,0.81032,0.59011,1.10356,0.000872691,0.000872691,0.000872691
15,3140.02,0.78874,0.66597,1.09491,0.9177,0.86552,0.91401,0.71716,0.78863,0.59991,1.09633,0.000854359,0.000854359,0.000854359
16,3341.52,0.77607,0.64154,1.08894,0.91652,0.86469,0.92738,0.72801,0.78901,0.56115,1.07408,0.000836027,0.000836027,0.000836027
17,3539.4,0.75927,0.63119,1.07316,0.92065,0.8698,0.92803,0.74202,0.76113,0.54845,1.06554,0.000817696,0.000817696,0.000817696
18,3737.4,0.75522,0.6082,1.07542,0.94157,0.89472,0.93878,0.7344,0.76516,0.54443,1.05787,0.000799365,0.000799365,0.000799365
19,3931.35,0.73848,0.57981,1.06796,0.91718,0.90135,0.93957,0.75291,0.73732,0.52773,1.04553,0.000781033,0.000781033,0.000781033
20,4126.41,0.7168,0.56539,1.05439,0.92574,0.89263,0.94029,0.75507,0.71977,0.51159,1.04088,0.000762702,0.000762702,0.000762702
21,4321.08,0.69855,0.55101,1.04683,0.94892,0.89576,0.94779,0.7536,0.74197,0.4962,1.0575,0.00074437,0.00074437,0.00074437
22,4517.77,0.68878,0.52786,1.038,0.92998,0.89435,0.944,0.75009,0.73707,0.50518,1.05046,0.000726038,0.000726038,0.000726038
23,4713.71,0.68259,0.53499,1.03486,0.93956,0.90242,0.94676,0.75885,0.73251,0.48098,1.03771,0.000707707,0.000707707,0.000707707
24,4910.9,0.67327,0.51406,1.03123,0.9115,0.92684,0.94529,0.77455,0.69429,0.4666,1.02024,0.000689376,0.000689376,0.000689376
25,5106.62,0.6643,0.49768,1.01938,0.92845,0.91013,0.9469,0.76393,0.70982,0.48158,1.02749,0.000671044,0.000671044,0.000671044
26,5301.07,0.65787,0.49398,1.02152,0.92519,0.90941,0.94516,0.77289,0.69302,0.46991,1.01916,0.000652712,0.000652712,0.000652712
27,5491.83,0.64192,0.48244,1.00725,0.93789,0.91635,0.95537,0.78202,0.67913,0.44074,1.02052,0.000634381,0.000634381,0.000634381
28,5685.93,0.62814,0.47003,1.00192,0.93266,0.9224,0.95254,0.78393,0.68122,0.45265,1.01484,0.000616049,0.000616049,0.000616049
29,5899.12,0.61745,0.46213,0.99812,0.94202,0.91435,0.95371,0.78531,0.67746,0.42806,1.0241,0.000597718,0.000597718,0.000597718
30,6121.78,0.60827,0.44247,0.997,0.95579,0.92781,0.96312,0.79929,0.65704,0.41033,1.00038,0.000579386,0.000579386,0.000579386
31,6342.57,0.60156,0.4429,0.98764,0.9546,0.9149,0.95912,0.79122,0.65793,0.40997,1.00224,0.000561055,0.000561055,0.000561055
32,6559.09,0.58832,0.42447,0.9768,0.95933,0.91059,0.95839,0.79174,0.66358,0.41882,1.00963,0.000542723,0.000542723,0.000542723
33,6780.46,0.5856,0.42614,0.98204,0.9578,0.91876,0.95753,0.7981,0.65182,0.41712,0.99951,0.000524392,0.000524392,0.000524392
34,7002.31,0.57058,0.41458,0.97245,0.96029,0.92633,0.95745,0.80294,0.62865,0.40074,0.98077,0.00050606,0.00050606,0.00050606
35,7225.65,0.58102,0.4265,0.97759,0.96764,0.93034,0.96666,0.8076,0.63174,0.39091,0.97798,0.000487729,0.000487729,0.000487729
36,7447.03,0.55609,0.40224,0.96791,0.96201,0.92723,0.9618,0.8054,0.63376,0.39601,0.98896,0.000469397,0.000469397,0.000469397
37,7665.0,0.55196,0.40149,0.9597,0.96383,0.92589,0.96225,0.80807,0.63258,0.39177,0.97741,0.000451066,0.000451066,0.000451066
38,7885.99,0.53161,0.3765,0.95442,0.96949,0.93158,0.96453,0.81196,0.61957,0.38619,0.97743,0.000432734,0.000432734,0.000432734
